Year,Week,Age,Value_Covid,Value_Covid_total
2020,11,00+,9,9
2020,11,00-04,0,0
2020,11,05-14,0,0
2020,11,15-34,0,0
2020,11,35-59,1,1
2020,11,60-79,5,5
2020,11,80+,3,3
2020,12,00+,48,57
2020,12,00-04,0,0
2020,12,05-14,0,0
2020,12,15-34,0,0
2020,12,35-59,0,1
2020,12,60-79,7,12
2020,12,80+,41,44
2020,13,00+,334,391
2020,13,00-04,0,0
2020,13,05-14,0,0
2020,13,15-34,1,1
2020,13,35-59,19,20
2020,13,60-79,106,118
2020,13,80+,208,252
2020,14,00+,935,1326
2020,14,00-04,0,0
2020,14,05-14,0,0
2020,14,15-34,1,2
2020,14,35-59,42,62
2020,14,60-79,319,437
2020,14,80+,573,825
2020,15,00+,1335,2661
2020,15,00-04,1,1
2020,15,05-14,0,0
2020,15,15-34,1,3
2020,15,35-59,63,125
2020,15,60-79,430,867
2020,15,80+,840,1665
2020,16,00+,1607,4268
2020,16,00-04,0,1
2020,16,05-14,0,0
2020,16,15-34,2,5
2020,16,35-59,60,185
2020,16,60-79,507,1374
2020,16,80+,1038,2703
2020,17,00+,1360,5628
2020,17,00-04,0,1
2020,17,05-14,0,0
2020,17,15-34,2,7
2020,17,35-59,42,227
2020,17,60-79,432,1806
2020,17,80+,884,3587
2020,18,00+,994,6622
2020,18,00-04,0,1
2020,18,05-14,0,0
2020,18,15-34,4,11
2020,18,35-59,53,280
2020,18,60-79,286,2092
2020,18,80+,651,4238
2020,19,00+,726,7348
2020,19,00-04,0,1
2020,19,05-14,0,0
2020,19,15-34,3,14
2020,19,35-59,29,309
2020,19,60-79,227,2319
2020,19,80+,467,4705
2020,20,00+,499,7847
2020,20,00-04,0,1
2020,20,05-14,0,0
2020,20,15-34,1,15
2020,20,35-59,23,332
2020,20,60-79,168,2487
2020,20,80+,307,5012
2020,21,00+,329,8176
2020,21,00-04,0,1
2020,21,05-14,0,0
2020,21,15-34,0,15
2020,21,35-59,19,351
2020,21,60-79,110,2597
2020,21,80+,200,5212
2020,22,00+,257,8433
2020,22,00-04,0,1
2020,22,05-14,0,0
2020,22,15-34,1,16
2020,22,35-59,14,365
2020,22,60-79,88,2685
2020,22,80+,154,5366
2020,23,00+,171,8604
2020,23,00-04,0,1
2020,23,05-14,0,0
2020,23,15-34,0,16
2020,23,35-59,10,375
2020,23,60-79,57,2742
2020,23,80+,104,5470
2020,24,00+,113,8717
2020,24,00-04,0,1
2020,24,05-14,0,0
2020,24,15-34,1,17
2020,24,35-59,11,386
2020,24,60-79,45,2787
2020,24,80+,56,5526
2020,25,00+,98,8815
2020,25,00-04,0,1
2020,25,05-14,0,0
2020,25,15-34,0,17
2020,25,35-59,5,391
2020,25,60-79,35,2822
2020,25,80+,58,5584
2020,26,00+,75,8890
2020,26,00-04,0,1
2020,26,05-14,0,0
2020,26,15-34,0,17
2020,26,35-59,9,400
2020,26,60-79,23,2845
2020,26,80+,43,5627
2020,27,00+,54,8944
2020,27,00-04,0,1
2020,27,05-14,0,0
2020,27,15-34,0,17
2020,27,35-59,4,404
2020,27,60-79,21,2866
2020,27,80+,29,5656
2020,28,00+,51,8995
2020,28,00-04,0,1
2020,28,05-14,0,0
2020,28,15-34,0,17
2020,28,35-59,5,409
2020,28,60-79,25,2891
2020,28,80+,21,5677
2020,29,00+,24,9019
2020,29,00-04,0,1
2020,29,05-14,0,0
2020,29,15-34,0,17
2020,29,35-59,0,409
2020,29,60-79,11,2902
2020,29,80+,13,5690
2020,30,00+,35,9054
2020,30,00-04,0,1
2020,30,05-14,0,0
2020,30,15-34,0,17
2020,30,35-59,7,416
2020,30,60-79,7,2909
2020,30,80+,21,5711
2020,31,00+,23,9077
2020,31,00-04,0,1
2020,31,05-14,0,0
2020,31,15-34,0,17
2020,31,35-59,1,417
2020,31,60-79,9,2918
2020,31,80+,13,5724
2020,32,00+,46,9123
2020,32,00-04,0,1
2020,32,05-14,0,0
2020,32,15-34,1,18
2020,32,35-59,1,418
2020,32,60-79,14,2932
2020,32,80+,30,5754
2020,33,00+,33,9156
2020,33,00-04,0,1
2020,33,05-14,0,0
2020,33,15-34,0,18
2020,33,35-59,2,420
2020,33,60-79,11,2943
2020,33,80+,20,5774
2020,34,00+,38,9194
2020,34,00-04,0,1
2020,34,05-14,0,0
2020,34,15-34,0,18
2020,34,35-59,4,424
2020,34,60-79,7,2950
2020,34,80+,27,5801
2020,35,00+,31,9225
2020,35,00-04,0,1
2020,35,05-14,0,0
2020,35,15-34,0,18
2020,35,35-59,3,427
2020,35,60-79,16,2966
2020,35,80+,12,5813
2020,36,00+,31,9256
2020,36,00-04,0,1
2020,36,05-14,0,0
2020,36,15-34,0,18
2020,36,35-59,5,432
2020,36,60-79,16,2982
2020,36,80+,10,5823
2020,37,00+,25,9281
2020,37,00-04,0,1
2020,37,05-14,0,0
2020,37,15-34,0,18
2020,37,35-59,4,436
2020,37,60-79,13,2995
2020,37,80+,8,5831
2020,38,00+,34,9315
2020,38,00-04,0,1
2020,38,05-14,0,0
2020,38,15-34,1,19
2020,38,35-59,5,441
2020,38,60-79,12,3007
2020,38,80+,16,5847
2020,39,00+,69,9384
2020,39,00-04,0,1
2020,39,05-14,0,0
2020,39,15-34,0,19
2020,39,35-59,3,444
2020,39,60-79,25,3032
2020,39,80+,41,5888
2020,40,00+,72,9456
2020,40,00-04,0,1
2020,40,05-14,0,0
2020,40,15-34,0,19
2020,40,35-59,7,451
2020,40,60-79,16,3048
2020,40,80+,49,5937
2020,41,00+,88,9544
2020,41,00-04,0,1
2020,41,05-14,0,0
2020,41,15-34,1,20
2020,41,35-59,6,457
2020,41,60-79,32,3080
2020,41,80+,49,5986
2020,42,00+,158,9702
2020,42,00-04,0,1
2020,42,05-14,0,0
2020,42,15-34,1,21
2020,42,35-59,8,465
2020,42,60-79,41,3121
2020,42,80+,108,6094
2020,43,00+,250,9952
2020,43,00-04,0,1
2020,43,05-14,0,0
2020,43,15-34,1,22
2020,43,35-59,6,471
2020,43,60-79,65,3186
2020,43,80+,178,6272
2020,44,00+,452,10404
2020,44,00-04,0,1
2020,44,05-14,1,1
2020,44,15-34,0,22
2020,44,35-59,17,488
