Date,C1E_School closing,C1E_Flag,C1NV_School closing,C1NV_Flag,C1V_School closing,C1V_Flag,C1M_School closing,C1M_Flag,C1_Notes,C2E_Workplace closing,C2E_Flag,C2NV_Workplace closing,C2NV_Flag,C2V_Workplace closing,C2V_Flag,C2M_Workplace closing,C2M_Flag,C2_Notes,C3E_Cancel public events,C3E_Flag,C3NV_Cancel public events,C3NV_Flag,C3V_Cancel public events,C3V_Flag,C3M_Cancel public events,C3M_Flag,C3_Notes,C4E_Restrictions on gatherings,C4E_Flag,C4NV_Restrictions on gatherings,C4NV_Flag,C4V_Restrictions on gatherings,C4V_Flag,C4M_Restrictions on gatherings,C4M_Flag,C4_Notes,C5E_Close public transport,C5E_Flag,C5NV_Close public transport,C5NV_Flag,C5V_Close public transport,C5V_Flag,C5M_Close public transport,C5M_Flag,C5_Notes,C6E_Stay at home requirements,C6E_Flag,C6NV_Stay at home requirements,C6NV_Flag,C6V_Stay at home requirements,C6V_Flag,C6M_Stay at home requirements,C6M_Flag,C6_Notes,C7E_Restrictions on internal movement,C7E_Flag,C7NV_Restrictions on internal movement,C7NV_Flag,C7V_Restrictions on internal movement,C7V_Flag,C7M_Restrictions on internal movement,C7M_Flag,C7_Notes,C8E_International travel controls,C8NV_International travel controls,C8V_International travel controls,C8EV_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6E_Facial Coverings,H6E_Flag,H6NV_Facial Coverings,H6NV_Flag,H6V_Facial Coverings,H6V_Flag,H6M_Facial Coverings,H6M_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8E_Protection of elderly people,H8E_Flag,H8NV_Protection of elderly people,H8NV_Flag,H8V_Protection of elderly people,H8V_Flag,H8M_Protection of elderly people,H8M_Flag,H8_Notes,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,MajorityVaccinated,PopulationVaccinated,StringencyIndex_NonVaccinated,StringencyIndex_Vaccinated,StringencyIndex_SimpleAverage,StringencyIndex_WeightedAverage,GovernmentResponseIndex_NonVaccinated,GovernmentResponseIndex_Vaccinated,GovernmentResponseIndex_SimpleAverage,GovernmentResponseIndex_WeightedAverage,ContainmentHealthIndex_NonVaccinated,ContainmentHealthIndex_Vaccinated,ContainmentHealthIndex_SimpleAverage,ContainmentHealthIndex_WeightedAverage,EconomicSupportIndex
20220101,1.0,1.0,,,,,1.0,1.0,,2.0,0.0,,,,,2.0,0.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,1.0,2.0,1.0,2.0,1.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,2.0,0.0,0.0,,0.0,,,2.0,,,2.0,,2.0,0.0,,0.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,,,,2.0,1.0,,5.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,2,,3,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5,,0.0,,7109182.0,111602.0,V,70.96,56.48,37.04,46.76,42.69,62.5,51.56,57.03,54.74,66.07,53.57,59.82,57.2,37.5
20220102,1.0,1.0,,,,,1.0,1.0,,2.0,0.0,,,,,2.0,0.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,1.0,2.0,1.0,2.0,1.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,2.0,0.0,0.0,,0.0,,,2.0,,,2.0,,2.0,0.0,,0.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,,,,2.0,1.0,,5.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,2,,3,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5,,0.0,,7109182.0,111602.0,V,70.98,56.48,37.04,46.76,42.68,62.5,51.56,57.03,54.73,66.07,53.57,59.82,57.2,37.5
20220103,1.0,1.0,,,,,1.0,1.0,,2.0,0.0,,,,,2.0,0.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,1.0,2.0,1.0,2.0,1.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,2.0,0.0,0.0,,0.0,,,2.0,,,2.0,,2.0,0.0,,0.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,,,,2.0,1.0,,5.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,2,,3,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5,,0.0,,7109182.0,111602.0,V,71.05,56.48,37.04,46.76,42.67,62.5,51.56,57.03,54.73,66.07,53.57,59.82,57.19,37.5
20220104,1.0,1.0,,,,,1.0,1.0,,2.0,0.0,,,,,2.0,0.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,1.0,2.0,1.0,2.0,1.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,2.0,0.0,0.0,,0.0,,,2.0,,,2.0,,2.0,0.0,,0.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,,,,2.0,1.0,,5.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,2,,3,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5,,0.0,,7238408.0,112579.0,V,71.17,56.48,37.04,46.76,42.64,62.5,51.56,57.03,54.71,66.07,53.57,59.82,57.17,37.5
20220105,1.0,1.0,,,,,1.0,1.0,,2.0,0.0,,,,,2.0,0.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,1.0,2.0,1.0,2.0,1.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,2.0,0.0,0.0,,0.0,,,2.0,,,2.0,,2.0,0.0,,0.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,,,,2.0,1.0,,5.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,2,,3,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5,,0.0,,7297320.0,112925.0,V,71.31,56.48,37.04,46.76,42.62,62.5,51.56,57.03,54.7,66.07,53.57,59.82,57.16,37.5
20220106,1.0,1.0,,,,,1.0,1.0,,2.0,0.0,,,,,2.0,0.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,1.0,2.0,1.0,2.0,1.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,2.0,0.0,0.0,,0.0,,,2.0,,,2.0,,2.0,0.0,,0.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,,,,2.0,1.0,,5.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,2,,3,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5,,0.0,,7361660.0,113368.0,V,71.42,56.48,37.04,46.76,42.6,62.5,51.56,57.03,54.69,66.07,53.57,59.82,57.14,37.5
20220107,1.0,1.0,,,,,1.0,1.0,,2.0,0.0,,,,,2.0,0.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,1.0,2.0,1.0,2.0,1.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,2.0,0.0,0.0,,0.0,,,2.0,,,2.0,,2.0,0.0,,0.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,No investments were announced.,2.0,1.0,,,,,2.0,1.0,,5.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,2,,3,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5,,0.0,,7417995.0,113632.0,V,71.56,56.48,37.04,46.76,42.57,62.5,51.56,57.03,54.67,66.07,53.57,59.82,57.12,37.5
20220108,1.0,1.0,,,,,1.0,1.0,,2.0,0.0,,,,,2.0,0.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,1.0,2.0,1.0,2.0,1.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,2.0,0.0,0.0,,0.0,,,2.0,,,2.0,,2.0,0.0,,0.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,,,,2.0,1.0,,5.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,2,,3,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5,,0.0,,7417995.0,113632.0,V,71.66,56.48,37.04,46.76,42.55,62.5,51.56,57.03,54.66,66.07,53.57,59.82,57.11,37.5
20220109,1.0,1.0,,,,,1.0,1.0,"Some schools are remaining remote learning, but all schools are open and currently testing, mask wearing, and social distancing guidelines appear to be the primary method of keeping schools open without adversity.  - https://web.archive.org/web/20211201030626/https://www.berlin.de/corona/massnahmen/verordnung/#paragraph24  - https://web.archive.org/web/20211124013714/https://www.tmasgff.de/covid-19/aktuelle-massnahmen  - https://web.archive.org/web/20211201064925/https://de.usembassy.gov/covid-19-information/",2.0,0.0,,,,,2.0,0.0,"Some sectors are closed, Amusement parks, theme parks, playgrounds, clubs, bars.... No matter status these businesses are closed.  Some business are restricting customers based on vaccine status as well based on 2G, 2G+, 3G system.    - https://web.archive.org/web/20211124013714/https://www.tmasgff.de/covid-19/aktuelle-massnahmen  - https://web.archive.org/web/20211201030626/https://www.berlin.de/corona/massnahmen/verordnung/#paragraph24  - https://web.archive.org/web/20211229012424/https://www.bundesgesundheitsministerium.de/en/service/gesetze-und-verordnungen/guv-19-lp/coronavirus-einreiseverordnung.html  - https://web.archive.org/web/20211201064925/https://de.usembassy.gov/covid-19-information/",,,2.0,1.0,1.0,1.0,1.0,1.0,"No public events for non-vaccinated persons in some areas, however vaccinated persons may attend events depending on guidelines set forth by the event.      - https://web.archive.org/web/20211124013714/https://www.tmasgff.de/covid-19/aktuelle-massnahmen  - https://web.archive.org/web/20211201030626/https://www.berlin.de/corona/massnahmen/verordnung/#paragraph24  - https://web.archive.org/web/20211229012424/https://www.bundesgesundheitsministerium.de/en/service/gesetze-und-verordnungen/guv-19-lp/coronavirus-einreiseverordnung.html  - https://web.archive.org/web/20211201064925/https://de.usembassy.gov/covid-19-information/",,,4.0,1.0,2.0,1.0,2.0,1.0,Restrictions are still very tight on private event gatherings for both vaccinated and un-vaccinated.  There are limits for both types of gatherings.  - https://web.archive.org/web/20211124013714/https://www.tmasgff.de/covid-19/aktuelle-massnahmen  - https://web.archive.org/web/20211201030626/https://www.berlin.de/corona/massnahmen/verordnung/#paragraph24  - https://web.archive.org/web/20211229012424/https://www.bundesgesundheitsministerium.de/en/service/gesetze-und-verordnungen/guv-19-lp/coronavirus-einreiseverordnung.html  - https://web.archive.org/web/20211201064925/https://de.usembassy.gov/covid-19-information/,0.0,,,,,,0.0,,Public transportation appears to be operating as normal as long as you meet the requirements for travel.  Masks and social distancing guidelines apply.    - https://web.archive.org/web/20211210190753/https://www.germany.info/us-en/coronavirus/2317268  - https://web.archive.org/web/20211201030626/https://www.berlin.de/corona/massnahmen/verordnung/#paragraph24  - https://web.archive.org/web/20211124013714/https://www.tmasgff.de/covid-19/aktuelle-massnahmen  - https://web.archive.org/web/20211201064925/https://de.usembassy.gov/covid-19-information/  ,0.0,,,,,,0.0,,,,,2.0,0.0,0.0,,0.0,,"Some states may have a nightly curfew for all persons from 10pm - 5am, these appear to be restrictions on non-vaccinated persons.      - https://web.archive.org/web/20211124013714/https://www.tmasgff.de/covid-19/aktuelle-massnahmen  - https://web.archive.org/web/20211201030626/https://www.berlin.de/corona/massnahmen/verordnung/#paragraph24  - https://web.archive.org/web/20211201064925/https://de.usembassy.gov/covid-19-information/",2.0,,,2.0,"Depending on country of origin you may have a 10-14 day quarantine, there will be additional testing requirements from these high risk areas as well.    - https://web.archive.org/web/20211201064925/https://de.usembassy.gov/covid-19-information/  - https://web.archive.org/web/20211210190753/https://www.germany.info/us-en/coronavirus/2317268  -https://web.archive.org/web/20211229012424/https://www.bundesgesundheitsministerium.de/en/service/gesetze-und-verordnungen/guv-19-lp/coronavirus-einreiseverordnung.html",2.0,0.0,,0.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,,,,2.0,1.0,,5.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,2,,3,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5,,0.0,,7417995.0,113632.0,V,71.7,56.48,37.04,46.76,42.54,62.5,51.56,57.03,54.66,66.07,53.57,59.82,57.11,37.5
20220110,1.0,1.0,,,,,1.0,1.0,,2.0,0.0,,,,,2.0,0.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,1.0,2.0,1.0,2.0,1.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,2.0,0.0,0.0,,0.0,,,2.0,,,2.0,,2.0,0.0,,0.0,,,,,,2.0,1.0,,3.0,,2.0,,,,0.0,,2.0,1.0,,,,,2.0,1.0,,5.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,2,,3,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5,,0.0,,7535691.0,114029.0,V,71.8,56.48,37.04,46.76,42.52,62.5,51.56,57.03,54.65,66.07,53.57,59.82,57.1,37.5
