Year,Week,C1E_School closing,C1E_Flag,C1NV_School closing,C1NV_Flag,C1V_School closing,C1V_Flag,C1M_School closing,C1M_Flag,C1_Notes,C2E_Workplace closing,C2E_Flag,C2NV_Workplace closing,C2NV_Flag,C2V_Workplace closing,C2V_Flag,C2M_Workplace closing,C2M_Flag,C2_Notes,C3E_Cancel public events,C3E_Flag,C3NV_Cancel public events,C3NV_Flag,C3V_Cancel public events,C3V_Flag,C3M_Cancel public events,C3M_Flag,C3_Notes,C4E_Restrictions on gatherings,C4E_Flag,C4NV_Restrictions on gatherings,C4NV_Flag,C4V_Restrictions on gatherings,C4V_Flag,C4M_Restrictions on gatherings,C4M_Flag,C4_Notes,C5E_Close public transport,C5E_Flag,C5NV_Close public transport,C5NV_Flag,C5V_Close public transport,C5V_Flag,C5M_Close public transport,C5M_Flag,C5_Notes,C6E_Stay at home requirements,C6E_Flag,C6NV_Stay at home requirements,C6NV_Flag,C6V_Stay at home requirements,C6V_Flag,C6M_Stay at home requirements,C6M_Flag,C6_Notes,C7E_Restrictions on internal movement,C7E_Flag,C7NV_Restrictions on internal movement,C7NV_Flag,C7V_Restrictions on internal movement,C7V_Flag,C7M_Restrictions on internal movement,C7M_Flag,C7_Notes,C8E_International travel controls,C8NV_International travel controls,C8V_International travel controls,C8EV_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6E_Facial Coverings,H6E_Flag,H6NV_Facial Coverings,H6NV_Flag,H6V_Facial Coverings,H6V_Flag,H6M_Facial Coverings,H6M_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8E_Protection of elderly people,H8E_Flag,H8NV_Protection of elderly people,H8NV_Flag,H8V_Protection of elderly people,H8V_Flag,H8M_Protection of elderly people,H8M_Flag,H8_Notes,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,MajorityVaccinated,PopulationVaccinated,StringencyIndex_NonVaccinated,StringencyIndex_Vaccinated,StringencyIndex_SimpleAverage,StringencyIndex_WeightedAverage,GovernmentResponseIndex_NonVaccinated,GovernmentResponseIndex_Vaccinated,GovernmentResponseIndex_SimpleAverage,GovernmentResponseIndex_WeightedAverage,ContainmentHealthIndex_NonVaccinated,ContainmentHealthIndex_Vaccinated,ContainmentHealthIndex_SimpleAverage,ContainmentHealthIndex_WeightedAverage,EconomicSupportIndex
2020,1,0.0,,,,,,0.0,,['The existing coding on C1 as 1G is appropriate  https://web.archive.org/web/20201021183821/https://schulen.de/blog/news/liveticker-auswirkungen-des-coronavirus-auf-deutsche-schulen/  There are no new restrictions implemented in the last week.  New restrictions are announced which will take effect only on 2nd Nov 2020 1. http://web.archive.org/web/20201029223105/https://www.bundesregierung.de/breg-en/news/bund-laender-beschluss-1805366 2. https://web.archive.org/web/20201029223527/https://www.deutschland.de/en/news/coronavirus-in-germany-informations'],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,0.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,,,,,,0.0,,[],0.0,,[],0.0,,,,,,0.0,,[],[],0.0,[],0.0,[],,,0.0,0.0,0.0,0.0,1.0,[],0.0,[],0.0,0.0,NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2,0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,0.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,,,,,,0.0,,[],0.0,,[],0.0,,,,,,0.0,,[],[],0.0,[],0.0,[],,,0.0,0.0,0.0,0.0,1.0,[],0.0,[],0.0,0.0,NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3,0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,0.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,,,,,,0.0,,[],0.0,,[],0.0,,,,,,0.0,,[],[],0.0,[],0.0,[],,,0.0,0.0,0.0,0.0,1.0,[],0.0,[],0.0,0.0,NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4,0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,0.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],0.42857142857142855,1.0,"[""German health minister: Be vigilant, but don't panic; https://web.archive.org/web/20200505180634/https://www.tagesschau.de/inland/spahn-coronavirus-101.html  "", 'German government tells clinics to prepare for Coronavirus patients; https://web.archive.org/web/20200505180836/https://www.tagesschau.de/inland/coronavirus-deutschland-103.html']",0.0,[],1.4285714285714286,['Robert-Koch-Institut issues first guidelines regarding contact tracing to Kreis Heinsberg (https://web.archive.org/web/20200408112829/https://www.kreis-heinsberg.de/download_redirektor.php?FILEPATH=..%2F..%2F..%2Ffiles%2F&FILE=Kontaktpersonennachverfolgung_2019-nCoV.pdf)'],0.0,[],0.0,[],0.0,,,,,,0.0,,[],0.0,,[],0.0,,,,,,0.0,,[],[],0.0,[],0.0,[],,,0.0,0.0,0.0,0.0,1.0,[],0.0,[],0.0,0.0,NV,0.0,2.382857142857143,2.382857142857143,2.382857142857143,2.382857142857143,5.805714285714286,5.805714285714286,5.805714285714286,5.805714285714286,6.630000000000001,6.630000000000001,6.630000000000001,6.630000000000001,0.0
2020,5,0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,0.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],1.0,1.0,"[""Federal Government's COVID-19 crisis team informs public about Wuhan spread; https://web.archive.org/web/20200129172942/https://www.tagesschau.de/inland/krisenstab-bundesregierung-101.html ""]",1.0,"['This date is chosen since it marks the first time that a person was tested positively in Germany. The exact starting date of testing could not be determined. Generally, tests are available for people with symptoms who were in contact with someone who tested positive and / or travelled to one of the high-risk regions https://www.fr.de/wissen/coronavirus-sars-cov-2-test-schnelltest-deutschland-covid-19-13582178.html']",2.0,[],0.0,[],0.0,[],0.0,,,,,,0.0,,[],0.0,,[],0.0,,,,,,0.0,,[],[],0.0,[],0.0,[],,,0.0,0.0,0.0,0.0,1.0,[],0.0,[],5.142857142857143,0.0,NV,0.0,5.56,5.56,5.56,5.56,11.459999999999999,11.459999999999999,11.459999999999999,11.459999999999999,13.1,13.1,13.1,13.1,0.0
2020,6,0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,0.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],1.0,1.0,['Health minister informs public about Coronavirus preparations; https://web.archive.org/web/20200405190432/https://www.tagesschau.de/inland/coronavirus-germersheim-111.html'],1.0,[],2.0,[],0.0,[],1144333.857142857,['CEPI (Coalition for Epidemic Preparedness Innovations) invests 7.5 million euro in CureVac (Tvºbingen); https://www.tagesschau.de/inland/impfstoff-coronavirus-101.html'],0.0,,,,,,0.0,,[],0.0,,[],0.0,,,,,,0.0,,[],[],0.0,[],0.0,[],,,0.0,0.0,0.0,0.0,1.0,[],0.0,[],12.571428571428571,0.0,NV,0.0,5.56,5.56,5.56,5.56,11.459999999999999,11.459999999999999,11.459999999999999,11.459999999999999,13.1,13.1,13.1,13.1,0.0
2020,7,0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,0.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],1.7142857142857142,1.0,"['German health ministry cooperates with Helmholtz Institut to produce series of videos on Coronavirus, including how to protect oneself from Coronavirus; https://web.archive.org/web/20200212103102/https:/twitter.com/BMG_Bund/status/1227538838140047361, https://twitter.com/BMG_Bund/status/1227535818237063168, https://twitter.com/BMG_Bund/status/1227536321473761282, https://twitter.com/BMG_Bund/status/1227536825000103936, https://twitter.com/BMG_Bund/status/1227537328261881856, https://twitter.com/BMG_Bund/status/1227537831473664000, https://twitter.com/BMG_Bund/status/1227538838140047361, https://twitter.com/BMG_Bund/status/1227540851389276166']",1.0,[],2.0,[],0.0,[],0.0,[],0.0,,,,,,0.0,,[],0.0,,[],0.0,,,,,,0.0,,[],[],0.0,[],0.0,[],,,0.0,0.0,0.0,0.0,1.0,[],0.0,[],15.714285714285714,0.0,NV,0.0,9.524285714285714,9.524285714285714,9.524285714285714,9.524285714285714,13.68857142857143,13.68857142857143,13.68857142857143,13.68857142857143,15.650000000000002,15.650000000000002,15.650000000000002,15.650000000000002,0.0
2020,8,0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,0.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],2.0,1.0,[],1.0,[],2.0,[],0.0,[],0.0,[],0.0,,,,,,0.0,,[],0.0,,[],0.0,,,,,,0.0,,[],[],0.0,[],0.0,[],,,0.0,0.0,0.0,0.0,1.0,[],0.0,[],16.0,0.0,NV,0.0,11.11,11.11,11.11,11.11,14.58,14.58,14.58,14.58,16.67,16.67,16.67,16.67,0.0
2020,9,1.4285714285714286,0.0,,,,,1.4285714285714286,0.0,"['Following the confirmation of multiple COVID-19 cases, Kreis Heinsberg initiated closure of schools, swimming pools, libraries and the town hall after consulting with the NRW state government. While small compared to the total population of Germany (0.3%),a closure of around 100 schools should qualifies as a targeted school closure. Since Heinsberg is home to one tertiary institution (Rheinische Fachhochschule Köln in Geilenkirchen) which was not ordered to close and hence not all educational levels were affected by closures, this is coded as 2T.   https://web.archive.org/web/20200229114959/https:/www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5138; https://web.archive.org/web/20200412173517/https://rp-online.de/nrw/staedte/kreis-heinsberg/coronavirus-erste-fall-im-kreis-heinsberg-fotos_bid-49197405']",0.0,,,,,,0.0,,[],0.2857142857142857,1.0,,,,,0.2857142857142857,1.0,"['Federal coronavirus response committee recommends cancelling public events if they pose an ""increased risk for transmission""; https://web.archive.org/web/20200407145946/https://www.tagesschau.de/inland/coronavirus-itb-messe-absage-103.html, https://web.archive.org/web/20200228232247/https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Risiko_Grossveranstaltungen.pdf?__blob=publicationFile ']",0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.42857142857142855,,,0.42857142857142855,"['Germany enacts new health security measures against coronavirus infections, screens travellers from China, South Korea, Japan, Italy, Iran;   https://web.archive.org/web/20200713004847/https://www.tagesschau.de/inland/coronavirus-deutschland-infektionen-101.html https://web.archive.org/web/20200723103858/https://www.reuters.com/article/us-china-health-germany-idUSKCN20M34J']",0.0,,[],0.0,[],0.0,[],0.0,[],2.0,1.0,[],1.0,[],2.0,[],0.0,[],0.0,[],0.0,,,,,,0.0,,[],0.0,,[],0.42857142857142855,1.0,,,,,0.42857142857142855,1.0,"['On February 28, the Federal Ministry for Health together with industry associations for LTCF formed a task force and recommended enhanced hygienic protective measures for LTFCs combined with a recommendation for isolation and a visitor stop if any cases are detected within homes. ']",[],0.0,[],0.0,[],,,0.0,0.0,0.0,0.0,1.0,[],0.0,[],45.0,0.0,NV,0.0,17.857142857142858,17.857142857142858,17.857142857142858,17.857142857142858,19.270000000000003,19.270000000000003,19.270000000000003,19.270000000000003,22.025714285714287,22.025714285714287,22.025714285714287,22.025714285714287,0.0
2020,10,2.0,0.0,,,,,2.0,0.0,[],0.0,,,,,,0.0,,[],1.0,1.0,,,,,1.0,1.0,['Health minister Spahn calls for events with more than 1000 people to be banned by states; https://web.archive.org/web/20200407150044/https://www.politico.eu/article/german-minister-calls-for-ban-on-events-with-over-1000-people-as-coronavirus-cases-rise/'],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],0.0,,,,,,0.0,,[],1.0,,,1.0,[],0.0,,[],0.0,[],0.0,[],0.0,[],2.0,1.0,['Robert-Koch-Institut starts issuing daily Coronavirus briefings; https://web.archive.org/web/20200505190746/https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Archiv.html'],1.0,[],2.0,['Daily Situation Report of the Robert Koch Institute states that extensive contact tracing was initiated by the responsible health authorities in all affected states. https://web.archive.org/web/20200408112222/https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/2020-03-04-en.pdf?__blob=publicationFile'],0.0,[],0.0,[],0.0,,,,,,0.0,,[],0.0,,[],1.0,1.0,,,,,1.0,1.0,[],[],0.0,[],0.0,[],,,0.0,0.0,0.0,0.0,1.0,[],0.0,[],476.57142857142856,0.0,NV,0.0,25.0,25.0,25.0,25.0,24.48,24.48,24.48,24.48,27.98,27.98,27.98,27.98,0.0
