Year,Week,Age,Value,Value_Covid,Cases,Inzidenz,Hospi_Cases,Hospi_Inzidenz,Erstimpfung,Zweitimpfung,Booster
2015,1,0-34,200.0,,,,,,,,
2015,1,35-59,1637.0,,,,,,,,
2015,1,60-79,6665.0,,,,,,,,
2015,1,80+,10211.0,,,,,,,,
2015,1,gesamt,18713.0,0.0,0.0,0.0,0.0,0.0,,,
2015,2,0-34,209.0,,,,,,,,
2015,2,35-59,1668.0,,,,,,,,
2015,2,60-79,6754.0,,,,,,,,
2015,2,80+,10652.0,,,,,,,,
2015,2,gesamt,19283.0,0.0,0.0,0.0,0.0,0.0,,,
2015,3,0-34,195.0,,,,,,,,
2015,3,35-59,1587.0,,,,,,,,
2015,3,60-79,6910.0,,,,,,,,
2015,3,80+,10808.0,,,,,,,,
2015,3,gesamt,19500.0,0.0,0.0,0.0,0.0,0.0,,,
2015,4,0-34,190.0,,,,,,,,
2015,4,35-59,1619.0,,,,,,,,
2015,4,60-79,6846.0,,,,,,,,
2015,4,80+,10691.0,,,,,,,,
2015,4,gesamt,19346.0,0.0,0.0,0.0,0.0,0.0,,,
2015,5,0-34,209.0,,,,,,,,
2015,5,35-59,1695.0,,,,,,,,
2015,5,60-79,7228.0,,,,,,,,
2015,5,80+,11584.0,,,,,,,,
2015,5,gesamt,20716.0,0.0,0.0,0.0,0.0,0.0,,,
2015,6,0-34,228.0,,,,,,,,
2015,6,35-59,1741.0,,,,,,,,
2015,6,60-79,7140.0,,,,,,,,
2015,6,80+,11796.0,,,,,,,,
2015,6,gesamt,20905.0,0.0,0.0,0.0,0.0,0.0,,,
2015,7,0-34,224.0,,,,,,,,
2015,7,35-59,1670.0,,,,,,,,
2015,7,60-79,7722.0,,,,,,,,
2015,7,80+,12779.0,,,,,,,,
2015,7,gesamt,22395.0,0.0,0.0,0.0,0.0,0.0,,,
2015,8,0-34,214.0,,,,,,,,
2015,8,35-59,1764.0,,,,,,,,
2015,8,60-79,7829.0,,,,,,,,
2015,8,80+,13457.0,,,,,,,,
