Datum,Altersgruppe,Todesfaelle
2015-W1,0-29,152
2015-W1,30-34,48
2015-W1,35-39,69
2015-W1,40-44,129
2015-W1,45-49,265
2015-W1,50-54,508
2015-W1,55-59,666
2015-W1,60-64,934
2015-W1,65-69,1087
2015-W1,70-74,1879
2015-W1,75-79,2765
2015-W1,80-84,3114
2015-W1,85-89,3620
2015-W1,90-94,2632
2015-W1,95+,845
2015-W1,Insgesamt,18713
2015-W10,0-29,166
2015-W10,30-34,56
2015-W10,35-39,74
2015-W10,40-44,131
2015-W10,45-49,309
2015-W10,50-54,516
2015-W10,55-59,744
2015-W10,60-64,1025
2015-W10,65-69,1151
2015-W10,70-74,2055
2015-W10,75-79,3269
2015-W10,80-84,3734
2015-W10,85-89,4291
2015-W10,90-94,3383
2015-W10,95+,1098
2015-W10,Insgesamt,22002
2015-W11,0-29,151
2015-W11,30-34,47
2015-W11,35-39,71
2015-W11,40-44,114
2015-W11,45-49,251
2015-W11,50-54,484
2015-W11,55-59,703
2015-W11,60-64,979
2015-W11,65-69,1167
2015-W11,70-74,1951
2015-W11,75-79,2990
2015-W11,80-84,3490
2015-W11,85-89,4161
2015-W11,90-94,3180
2015-W11,95+,1031
2015-W11,Insgesamt,20770
2015-W12,0-29,173
2015-W12,30-34,65
2015-W12,35-39,68
2015-W12,40-44,132
2015-W12,45-49,320
2015-W12,50-54,511
2015-W12,55-59,733
2015-W12,60-64,934
2015-W12,65-69,1130
2015-W12,70-74,1868
2015-W12,75-79,2991
2015-W12,80-84,3438
2015-W12,85-89,3829
2015-W12,90-94,2880
2015-W12,95+,937
2015-W12,Insgesamt,20009
2015-W13,0-29,177
2015-W13,30-34,43
2015-W13,35-39,62
2015-W13,40-44,110
2015-W13,45-49,281
2015-W13,50-54,455
2015-W13,55-59,672
2015-W13,60-64,935
2015-W13,65-69,1128
2015-W13,70-74,1857
2015-W13,75-79,2767
2015-W13,80-84,3295
2015-W13,85-89,3729
2015-W13,90-94,2712
2015-W13,95+,883
2015-W13,Insgesamt,19106
2015-W14,0-29,153
2015-W14,30-34,60
2015-W14,35-39,72
2015-W14,40-44,142
2015-W14,45-49,248
2015-W14,50-54,485
2015-W14,55-59,678
2015-W14,60-64,914
2015-W14,65-69,1096
2015-W14,70-74,1851
2015-W14,75-79,2806
2015-W14,80-84,3096
