Year,Week,Age,Value
2015,1,0-29,152.0
2015,1,30-34,48.0
2015,1,35-39,69.0
2015,1,40-44,129.0
2015,1,45-49,265.0
2015,1,50-54,508.0
2015,1,55-59,666.0
2015,1,60-64,934.0
2015,1,65-69,1087.0
2015,1,70-74,1879.0
2015,1,75-79,2765.0
2015,1,80-84,3114.0
2015,1,85-89,3620.0
2015,1,90-94,2632.0
2015,1,95+,845.0
2015,1,Insgesamt,18713.0
2015,2,0-29,154.0
2015,2,30-34,55.0
2015,2,35-39,61.0
2015,2,40-44,143.0
2015,2,45-49,304.0
2015,2,50-54,467.0
2015,2,55-59,693.0
2015,2,60-64,977.0
2015,2,65-69,1078.0
2015,2,70-74,1880.0
2015,2,75-79,2819.0
2015,2,80-84,3289.0
2015,2,85-89,3732.0
2015,2,90-94,2784.0
2015,2,95+,847.0
2015,2,Insgesamt,19283.0
2015,3,0-29,139.0
2015,3,30-34,56.0
2015,3,35-39,80.0
2015,3,40-44,131.0
2015,3,45-49,275.0
2015,3,50-54,443.0
2015,3,55-59,658.0
2015,3,60-64,964.0
2015,3,65-69,1065.0
2015,3,70-74,1884.0
2015,3,75-79,2997.0
2015,3,80-84,3313.0
2015,3,85-89,3781.0
2015,3,90-94,2844.0
2015,3,95+,870.0
2015,3,Insgesamt,19500.0
2015,4,0-29,146.0
2015,4,30-34,44.0
2015,4,35-39,65.0
2015,4,40-44,124.0
2015,4,45-49,273.0
2015,4,50-54,454.0
2015,4,55-59,703.0
2015,4,60-64,954.0
2015,4,65-69,1108.0
2015,4,70-74,1871.0
2015,4,75-79,2913.0
2015,4,80-84,3277.0
2015,4,85-89,3779.0
2015,4,90-94,2750.0
2015,4,95+,885.0
2015,4,Insgesamt,19346.0
2015,5,0-29,150.0
2015,5,30-34,59.0
2015,5,35-39,65.0
2015,5,40-44,119.0
2015,5,45-49,296.0
2015,5,50-54,509.0
2015,5,55-59,706.0
2015,5,60-64,1012.0
2015,5,65-69,1173.0
2015,5,70-74,1989.0
2015,5,75-79,3054.0
2015,5,80-84,3479.0
2015,5,85-89,4063.0
2015,5,90-94,3086.0
2015,5,95+,956.0
2015,5,Insgesamt,20716.0
2015,6,0-29,169.0
2015,6,30-34,59.0
2015,6,35-39,64.0
2015,6,40-44,133.0
2015,6,45-49,304.0
2015,6,50-54,515.0
2015,6,55-59,725.0
2015,6,60-64,979.0
2015,6,65-69,1183.0
2015,6,70-74,1938.0
2015,6,75-79,3040.0
2015,6,80-84,3591.0
2015,6,85-89,4249.0
2015,6,90-94,3012.0
2015,6,95+,944.0
2015,6,Insgesamt,20905.0
2015,7,0-29,173.0
2015,7,30-34,51.0
2015,7,35-39,68.0
2015,7,40-44,120.0
2015,7,45-49,284.0
2015,7,50-54,505.0
2015,7,55-59,693.0
2015,7,60-64,1108.0
2015,7,65-69,1220.0
2015,7,70-74,2069.0
2015,7,75-79,3325.0
2015,7,80-84,3677.0
2015,7,85-89,4595.0
2015,7,90-94,3423.0
2015,7,95+,1084.0
2015,7,Insgesamt,22395.0
2015,8,0-29,158.0
2015,8,30-34,56.0
2015,8,35-39,66.0
2015,8,40-44,147.0
2015,8,45-49,312.0
2015,8,50-54,499.0
2015,8,55-59,740.0
2015,8,60-64,1114.0
2015,8,65-69,1325.0
2015,8,70-74,2103.0
2015,8,75-79,3287.0
2015,8,80-84,3896.0
2015,8,85-89,4757.0
2015,8,90-94,3707.0
2015,8,95+,1097.0
2015,8,Insgesamt,23264.0
2015,9,0-29,152.0
2015,9,30-34,59.0
2015,9,35-39,72.0
2015,9,40-44,121.0
2015,9,45-49,300.0
2015,9,50-54,541.0
2015,9,55-59,733.0
2015,9,60-64,1110.0
2015,9,65-69,1270.0
2015,9,70-74,2206.0
2015,9,75-79,3405.0
2015,9,80-84,4070.0
2015,9,85-89,4701.0
2015,9,90-94,3687.0
2015,9,95+,1171.0
2015,9,Insgesamt,23598.0
2015,10,0-29,166.0
2015,10,30-34,56.0
2015,10,35-39,74.0
2015,10,40-44,131.0
2015,10,45-49,309.0
2015,10,50-54,516.0
2015,10,55-59,744.0
2015,10,60-64,1025.0
2015,10,65-69,1151.0
2015,10,70-74,2055.0
2015,10,75-79,3269.0
2015,10,80-84,3734.0
2015,10,85-89,4291.0
2015,10,90-94,3383.0
2015,10,95+,1098.0
2015,10,Insgesamt,22002.0
2015,11,0-29,151.0
2015,11,30-34,47.0
2015,11,35-39,71.0
2015,11,40-44,114.0
2015,11,45-49,251.0
2015,11,50-54,484.0
2015,11,55-59,703.0
2015,11,60-64,979.0
2015,11,65-69,1167.0
2015,11,70-74,1951.0
2015,11,75-79,2990.0
2015,11,80-84,3490.0
2015,11,85-89,4161.0
2015,11,90-94,3180.0
2015,11,95+,1031.0
2015,11,Insgesamt,20770.0
2015,12,0-29,173.0
2015,12,30-34,65.0
2015,12,35-39,68.0
2015,12,40-44,132.0
2015,12,45-49,320.0
2015,12,50-54,511.0
2015,12,55-59,733.0
2015,12,60-64,934.0
2015,12,65-69,1130.0
2015,12,70-74,1868.0
2015,12,75-79,2991.0
2015,12,80-84,3438.0
2015,12,85-89,3829.0
2015,12,90-94,2880.0
2015,12,95+,937.0
2015,12,Insgesamt,20009.0
2015,13,0-29,177.0
2015,13,30-34,43.0
2015,13,35-39,62.0
2015,13,40-44,110.0
2015,13,45-49,281.0
2015,13,50-54,455.0
2015,13,55-59,672.0
2015,13,60-64,935.0
2015,13,65-69,1128.0
2015,13,70-74,1857.0
2015,13,75-79,2767.0
2015,13,80-84,3295.0
2015,13,85-89,3729.0
2015,13,90-94,2712.0
2015,13,95+,883.0
2015,13,Insgesamt,19106.0
2015,14,0-29,153.0
2015,14,30-34,60.0
2015,14,35-39,72.0
2015,14,40-44,142.0
2015,14,45-49,248.0
